temakode;objekttype;geometri
4225;ReinDrivingsleiGrense;LTEMA
4226;Siidaområde;FTEMA
4226;ReinTrekklei;LTEMA
4226;Siidaområde;PTEMA
4227;Oppsamlingområde;FTEMA
4227;OppsamlingområdeGrense;LTEMA
4227;Oppsamlingområde;PTEMA
4228;Beitehage;FTEMA
4228;BeitehageGrense;LTEMA
4228;Beitehage;PTEMA
4229;Reinbeiteområde;FTEMA
4229;ReinbeiteområdeGrense;LTEMA
4229;Reinbeiteområde;PTEMA
4230;BeiteTekniskInnretning;FTEMA
4230;BeiteTekniskInnretning;LTEMA
4230;BeiteTekniskInnretning;PTEMA
4231;Beitebesetning;FTEMA
4231;BeitebesetningGr;LTEMA
4231;Beitebesetning;PTEMA
4232;Beitelag;FTEMA
4232;BeitelagGr;LTEMA
4233;BeitelagFellesOmr;FTEMA
4233;BeitelagFellesGr;LTEMA
4233;BeitelagFellesOmr;PTEMA
4234;BeitelagFiktGr;LTEMA
4235;BeiteTekniskInnretningGr;LTEMA
4236;SiidaområdeGrense;LTEMA
4237;Landskapsregion;FTEMA
4237;LandskapsregionGrense;LTEMA
4237;Landskapsregion;PTEMA
4238;Landskapsunderregion;FTEMA
4238;LandskapsunderregionGrense;LTEMA
4238;Landskapsunderregion;PTEMA
4239;Jordbruksregion;FTEMA
4239;JordbruksregionGrense;LTEMA
4239;Jordbruksregion;PTEMA
4240;Jordsmonn;FTEMA
4240;Jordsmonn;PTEMA
4242;Jordsmonnsobservasjon;PTEMA
4243;JordsmonnGrense;LTEMA
4247;JordsmonnAnnetareal;FTEMA
4247;JordsmonnAnnetareal;PTEMA
4248;JordsmonnAnnetarealGrense;LTEMA
4265;BmMarinOmråde;FTEMA
4265;BmMarinOmråde;PTEMA
4266;BmMarinGrense;LTEMA
4270;BmArtOmråde;FTEMA
4270;BmArtOmråde;LTEMA
4270;BmArtOmråde;PTEMA
4271;BmArtGrense;LTEMA
4274;Friluftslivsområde;FTEMA
4274;Friluftslivsområde;LTEMA
4274;Friluftslivsområde;PTEMA
4275;BmNatypPriOmråde;FTEMA
4275;BmNatypPriOmråde;PTEMA
4276;BmNatypPriGrense;LTEMA
4277;ForeslåttNaturvernområde;FTEMA
4277;ForeslåttNaturverngrense;LTEMA
4277;ForeslåttNaturvernområde;PTEMA
4278;FriluftslivsområdeAvgrensing;LTEMA
4300;Bestand;FTEMA
4300;BestandGrense;LTEMA
4300;Bestand;PTEMA
4401;Skog;FTEMA
4401;SkogGrense;LTEMA
4401;Skog;PTEMA
4402;MarkertSkogGrense;LTEMA
4403;Tregruppe;PTEMA
4451;DyrketMark;FTEMA
4451;DyrketMark;PTEMA
4452;Frukthage;FTEMA
4452;Frukthage;PTEMA
4461;Myr;FTEMA
4461;MyrGrense;LTEMA
4461;Myr;PTEMA
4471;Steinur;FTEMA
4471;SteinurGrense;LTEMA
4471;Steinur;PTEMA
4473;SandGrus;FTEMA
4473;SandGrusGrense;LTEMA
4473;SandGrus;PTEMA
4474;InonOmr;FTEMA
4474;InonGr;LTEMA
4474;InonOmr;PTEMA
